aircraft_lat,aircraft_long,model_title,model_desc,aircraft_category,aircraft_callsign,mission_date,agency_name,agency_area_code,agency_phone,address_street,address_city,address_state,address_zip
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-12-11,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-05-02,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-05-13,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-03-08,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-08-24,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-04-03,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-08-13,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-14,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-03-02,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-01-27,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-06-15,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-06-06,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-09-04,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-02-14,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-10-03,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2018-01-06,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-09-30,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-10-01,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-07-03,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-04-14,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-11-20,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-03-02,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-06-26,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-11-18,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
